student_id,project_team,subteam
student_48,Airline delay_team3,Modeling team
student_54,Airline delay_team3,Modeling team
student_36,Airline delay_team3,Modeling team
student_15,Airline delay_team3,Modeling team
student_2,Airline delay_team3,Front-end team
student_1,Airline delay_team3,Front-end team
student_3,Airline delay_team3,Front-end team
student_4,Airline delay_team3,Front-end team
student_28,Customer analytics_team2,Modeling team
student_27,Customer analytics_team2,Modeling team
student_48,Customer analytics_team2,Modeling team
student_54,Customer analytics_team2,Modeling team
student_14,Customer analytics_team2,Front-end team
student_66,Customer analytics_team2,Front-end team
student_59,Customer analytics_team2,Front-end team
student_57,Customer analytics_team2,Front-end team
student_41,Customer analytics_team3,Modeling team
student_45,Customer analytics_team3,Modeling team
student_29,Customer analytics_team3,Modeling team
student_51,Customer analytics_team3,Modeling team
student_46,Customer analytics_team3,Front-end team
student_38,Customer analytics_team3,Front-end team
student_25,Customer analytics_team3,Front-end team
student_22,Customer analytics_team3,Front-end team
student_9,FIFA video highlights_team3,Modeling team
student_30,FIFA video highlights_team3,Modeling team
student_39,FIFA video highlights_team3,Modeling team
student_26,FIFA video highlights_team3,Modeling team
student_67,FIFA video highlights_team3,Front-end team
student_61,FIFA video highlights_team3,Front-end team
student_52,FIFA video highlights_team3,Front-end team
student_18,FIFA video highlights_team3,Front-end team
student_17,Heavy traffic_team1,Modeling team
student_12,Heavy traffic_team1,Modeling team
student_11,Heavy traffic_team1,Modeling team
student_8,Heavy traffic_team1,Modeling team
student_35,Heavy traffic_team1,Front-end team
student_40,Heavy traffic_team1,Front-end team
student_31,Heavy traffic_team1,Front-end team
student_34,Storm cell tracking_team2,Modeling team
student_60,Storm cell tracking_team2,Modeling team
student_62,Storm cell tracking_team2,Modeling team
student_56,Storm cell tracking_team2,Modeling team
student_53,Storm cell tracking_team2,Front-end team
student_32,Storm cell tracking_team2,Front-end team
student_15,Storm cell tracking_team2,Front-end team
student_24,Storm cell tracking_team3,Modeling team
student_20,Storm cell tracking_team3,Modeling team
student_61,Storm cell tracking_team3,Modeling team
student_52,Storm cell tracking_team3,Modeling team
student_8,Storm cell tracking_team3,Front-end team
student_11,Storm cell tracking_team3,Front-end team
student_12,Storm cell tracking_team3,Front-end team
student_7,Storm cell tracking_team3,Front-end team
